Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2019-1 Data Report
"October 2, 2018 (FTE 2019-1)"
 
System ID, System Name,School ID,  Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"","State-Wide","State-Wide","Female","138579","1632","36372","318869","889","333831","33334"
"","State-Wide","State-Wide","Male","145268","1764","38350","327806","887","355721","33900"
"","State-Wide","State-Wide","Total","283847","3396","74722","646675","1776","689552","67234"
"601","Appling County","0103-Appling County High School","Female","59","*","*","91","*","294","*"
"601","Appling County","0103-Appling County High School","Male","60","*","*","127","*","299","15"
"601","Appling County","0103-Appling County High School","Total","119","*","*","218","*","593","*"
"601","Appling County","0177-Appling County Elementary School","Female","56","*","*","96","*","112","*"
"601","Appling County","0177-Appling County Elementary School","Male","65","*","*","62","*","130","*"
"601","Appling County","0177-Appling County Elementary School","Total","121","*","*","158","*","242","*"
"601","Appling County","0195-Appling County Middle School","Female","65","*","*","91","*","223","19"
"601","Appling County","0195-Appling County Middle School","Male","60","*","*","102","*","215","*"
"601","Appling County","0195-Appling County Middle School","Total","125","*","*","193","*","438","*"
"601","Appling County","0277-Appling County Primary School","Female","94","*","*","90","*","140","*"
"601","Appling County","0277-Appling County Primary School","Male","67","*","*","87","*","165","*"
"601","Appling County","0277-Appling County Primary School","Total","161","*","*","177","*","305","*"
"601","Appling County","1050-Altamaha Elementary School","Female","*","*","*","20","*","169","*"
"601","Appling County","1050-Altamaha Elementary School","Male","*","*","*","19","*","179","*"
"601","Appling County","1050-Altamaha Elementary School","Total","*","*","*","39","*","348","*"
"601","Appling County","5050-Fourth District Elementary School","Female","*","*","*","*","*","57","*"
"601","Appling County","5050-Fourth District Elementary School","Male","*","*","*","*","*","69","*"
"601","Appling County","5050-Fourth District Elementary School","Total","*","*","*","*","*","126","*"
"602","Atkinson County","0103-Atkinson County High School","Female","76","*","*","37","*","105","*"
"602","Atkinson County","0103-Atkinson County High School","Male","101","*","*","42","*","111","*"
"602","Atkinson County","0103-Atkinson County High School","Total","177","*","*","79","*","216","*"
"602","Atkinson County","0111-Atkinson County Middle School","Female","82","*","*","26","*","72","*"
"602","Atkinson County","0111-Atkinson County Middle School","Male","75","*","*","26","*","86","*"
"602","Atkinson County","0111-Atkinson County Middle School","Total","157","*","*","52","*","158","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Female","30","*","*","21","*","40","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Male","20","*","*","26","*","47","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Total","50","*","*","47","*","87","*"
"602","Atkinson County","0190-Pearson Elementary School","Female","142","*","*","44","*","129","*"
"602","Atkinson County","0190-Pearson Elementary School","Male","148","*","*","50","*","130","*"
"602","Atkinson County","0190-Pearson Elementary School","Total","290","*","*","94","*","259","*"
"603","Bacon County","0102-Bacon County Primary School","Female","41","*","*","66","*","149","*"
"603","Bacon County","0102-Bacon County Primary School","Male","45","*","*","61","*","168","17"
"603","Bacon County","0102-Bacon County Primary School","Total","86","*","*","127","*","317","*"
"603","Bacon County","0202-Bacon County Middle School","Female","39","*","*","55","*","125","*"
"603","Bacon County","0202-Bacon County Middle School","Male","36","*","*","51","*","166","*"
"603","Bacon County","0202-Bacon County Middle School","Total","75","*","*","106","*","291","*"
"603","Bacon County","0302-Bacon County High School","Female","27","*","*","53","*","200","*"
