system_name...1,district,school_name,fac_schtype,system_name...5,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,harsh
Appling County,Appling County,Appling County High School,H,Appling County,970,90.41,22,12,61,5,1.4,101
Appling County,Appling County,Appling County Elementary School,E,Appling County,551,90.38,29,22,44,10,13.1,19
Appling County,Appling County,Appling County Middle School,M,Appling County,795,90.44,24,16,55,6,3.8,120
Appling County,Appling County,Appling County Primary School,E,Appling County,516,90.31,25,24,45,11,20.3,48
Appling County,Appling County,Altamaha Elementary School,E,Appling County,378,90.48,10,7,80,2,5,10
Appling County,Appling County,Fourth District Elementary School,E,Appling County,152,90.13,10,13,74,3,7.9,35
Atkinson County,Atkinson County,Atkinson County High School,H,Atkinson County,478,80.13,17,37,45,5,2.9,20
Atkinson County,Atkinson County,Atkinson County Middle School,M,Atkinson County,374,85.56,14,42,42,8,4.5,8
Atkinson County,Atkinson County,Willacoochee Elementary School,E,Atkinson County,162,90.12,27,27,46,10,9.9,1
Atkinson County,Atkinson County,Pearson Elementary School,E,Atkinson County,569,85.94,14,45,39,11,23.9,40
Bacon County,Bacon County,Bacon County Primary School,E,Bacon County,468,86.54,22,15,57,5,8.3,13
Bacon County,Bacon County,Bacon County Middle School,M,Bacon County,494,68.22,21,15,59,6,1.8,71
Bacon County,Bacon County,Bacon County High School,H,Bacon County,591,58.04,17,12,67,4,1.2,54
Bacon County,Bacon County,Bacon County Elementary School,E,Bacon County,495,86.46,22,15,57,5,7.3,35
Baker County,Baker County,Baker County K12 School,K12,Baker County,271,94.1,60,12,23,2,0,31
Baldwin County,Baldwin County,Oak Hill MS,M,Baldwin County,1162,92.86,72,3,21,0,0.6,477
Baldwin County,Baldwin County,Baldwin High School,H,Baldwin County,1204,92.86,72,2,22,0,0.3,66
Baldwin County,Baldwin County,Lakeview Academy,E,Baldwin County,680,92.79,64,4,26,0,1.9,121
Baldwin County,Baldwin County,Midway Hills Primary,E,Baldwin County,558,92.83,62,1,31,0,0,28
Baldwin County,Baldwin County,Lakeview Primary,E,Baldwin County,687,92.87,57,4,30,0,2.8,68
Baldwin County,Baldwin County,Midway Hills Academy,E,Baldwin County,564,92.73,67,1,27,0,0,136
Banks County,Banks County,Banks County Middle School,M,Banks County,695,61.01,1,10,86,0,1.7,67
Banks County,Banks County,Banks County Elementary School,E,Banks County,606,65.68,2,10,82,0,6.1,0
