district_size,total,perc_frl,perc_black,perc_hisp,perc_white,perc_non_white,perc_migrant,perc_esol,harsh
3362,970,90.41,22,12,61,39,5,1.4,101
3362,551,90.38,29,22,44,56,10,13.1,19
3362,795,90.44,24,16,55,45,6,3.8,120
3362,516,90.31,25,24,45,55,11,20.3,48
3362,378,90.48,10,7,80,20,2,5,10
3362,152,90.13,10,13,74,26,3,7.9,35
1583,478,80.13,17,37,45,55,5,2.9,20
1583,374,85.56,14,42,42,58,8,4.5,8
1583,162,90.12,27,27,46,54,10,9.9,1
1583,569,85.94,14,45,39,61,11,23.9,40
2048,468,86.54,22,15,57,43,5,8.3,13
2048,494,68.22,21,15,59,41,6,1.8,71
2048,591,58.04,17,12,67,33,4,1.2,54
2048,495,86.46,22,15,57,43,5,7.3,35
271,271,94.1,60,12,23,77,2,0,31
4855,1162,92.86,72,3,21,79,0,0.6,477
4855,1204,92.86,72,2,22,78,0,0.3,66
4855,680,92.79,64,4,26,74,0,1.9,121
4855,558,92.83,62,1,31,69,0,0,28
4855,687,92.87,57,4,30,70,0,2.8,68
4855,564,92.73,67,1,27,73,0,0,136
2738,695,61.01,1,10,86,14,0,1.7,67
2738,606,65.68,2,10,82,18,0,6.1,0
2738,843,51.01,2,9,87,13,0,1.5,45
2738,594,60.1,2,7,88,12,0,3.5,3
15725,1887,53.68,15,21,56,44,0,3.9,253
15725,521,63.34,7,19,61,39,1,14.2,23
15725,851,57.23,12,21,57,43,0,3.5,44
15725,1975,57.26,14,20,59,41,0,3.7,47
15725,840,73.1,19,23,46,54,0,15,23
15725,662,44.71,6,15,67,33,0,12.1,5
15725,1274,69.42,14,19,56,44,0,4.3,89
15725,1161,63.31,9,23,60,40,0,12.5,6
15725,978,61.66,14,17,58,42,0,2.8,67
15725,806,61.04,16,18,57,43,0,14,11
15725,622,78.62,21,18,47,53,0,11.1,72
15725,630,80,6,19,60,40,0,12.9,54
15725,2075,50.46,14,18,57,43,0,2.4,139
15725,698,71.49,9,20,61,39,0,14,14
15725,745,69.8,15,17,58,42,0,11.3,6
14455,717,52.3,8,8,79,21,0,0.7,109
14455,572,51.57,2,7,84,16,0,3.3,18
14455,977,43.3,7,7,82,18,0,1.1,86
14455,367,58.31,1,6,89,11,0,3.5,3
14455,416,50.72,10,9,76,24,0,2.6,20
14455,1518,51.38,16,17,61,39,0,2.9,119
14455,628,65.29,16,18,57,43,0,12.1,10
14455,523,59.08,15,15,63,37,0,8.4,36
14455,668,52.1,10,5,78,22,0,2.2,9
14455,442,55.66,8,14,73,27,0,6.8,3
